lfnr;Form ID
1789;7681
1790;7681
1791;7681
1792;7681
1793;7681
1794;7681
1795;7681
1796;7681
1797;7681
1798;7681
1799;7681
1800;7681
1801;7681
1802;7681
1803;7681
1804;7681
1805;7681
1806;7681
1807;7681
1808;7681
1809;7681
1810;7681
1811;7681
1812;7681
1813;7681
1814;7681
1815;7681
1816;7681
1817;7681
1818;7681
1819;7681
1820;7681
1821;7681
1822;7681
1823;7681
1824;7681
1825;7681
1826;7681
1827;7681
1828;7681
1829;7681
1830;7681
1831;7681
1832;7681
1833;7681
1834;7681
1835;7681
1836;7681
1837;7681
1838;7681
1839;7681
1840;7681
1841;7681
1842;7681
1843;7681
1844;7681
1845;7681
1846;7681
1847;7681
1848;7681
1849;7681
1850;7681
1851;7681
1852;7681
1853;7681
1854;7681
1855;7681
1856;7681
1857;7681
1858;7681
1859;7681
1860;7681
1861;7681
1862;7681
1863;7681
1864;7681
1865;7681
1866;7681
1867;7681
1868;7681
1869;7681
1870;7681
1871;7681
1872;7681
1873;7681
1874;7681
1875;7681
1876;7681
1877;7681
1878;7681
1879;7681
1880;7681
1881;7681
1882;7681
1883;7681
1884;7681
1885;7681
1886;7681
1887;7681
1888;7681
1889;7681
1890;7681
1891;7681
1892;7681
1893;7681
1894;7681
1895;7681
1896;7681
1897;7681
1898;7681
1899;7681
1900;7681
1901;7681
1902;7681
1903;7681
1904;7681
1905;7681
1906;7681
1907;7681
1908;7681
1909;7681
1910;7681
1911;7681
1912;7681
1913;7681
1914;7681
1915;7681
1916;7681
1917;7681
1918;7681
1919;7681
1920;7681
1921;7681
1922;7681
1923;7681
1924;7681
1925;7681
1926;7681
1927;7681
1928;7681
1929;7681
1930;7681
1931;7681
1932;7681
1933;7681
1934;7681
1935;7681
1936;7681
1937;7681
1938;7681
1939;7681
1940;7681
1941;7681
1942;7681
1943;7681
1944;7681
1945;7681
1946;7681
1947;7681
1948;7681
1949;7681
1950;7681
1951;7681
1952;7681
1953;7681
1954;7681
1955;7681
1956;7681
1957;7681
1958;7681
1959;7681
1960;7681
1961;7681
1962;7681
1963;7681
1964;7681
1965;7681
1966;7681
1967;7681
1968;7681
1969;7681
1970;7681
